ID	Text	LanguageID	Translation
3626594	Nga hap ban leit sha ka painkhana.	1421916	I have to go to the toilet.
3927277	Yn ym don da kawei ka por.	1624132	There won't be a next time.
3927278	Ngam ju dei kaei-kaei ruh.	3927276	I can't get anything right.
3927280	Ka miaw ka paw na khrum ka mieij.	20589	A cat appeared from under the desk.
3927281	Nga sngewbha shibun ban don hangne.	3447644	I'm very pleased to be here.
3927282	Don ba iohsngew ianga?	2092570	Does anybody hear me?
3927284	Phi don eiei ban kylli ianga?	2039835	Is there something you want to ask me for?
3927285	U Tom u lah dei ban sngewsih bha.	3676270	Tom must've been very disappointed.
3927288	U Kapten udei uba khatduh ban mih na ka Jhat ba ngam.	273511	The captain was the last person to leave the sinking ship.
3927328	Khublei!	374827	Thank you!
3927329	Hynrei balei?	457594	But why?
3927330	Sa kaei don hangto?	3408801	What else is there?
3927331	Sa kaei?	407085	What else?
3927339	Pynpait ki pylleng bad weng ki shangai.	2776762	Break the eggs and remove the yolks.
3927340	U Tom u dei u paralok banyngkong jongnga ha facebook.	3927283	Tom was my first Facebook friend.
3927342	Balei phi mynjur?	2648203	Why did you agree?
3927343	Balei phi slem?	1495896	Why are you late?
3927344	Hangno phi don?	2168	Where are you?
3927345	Haei phi don?	2168	Where are you?
3927347	Naduh mynno?	1469822	Since when?
3927349	Mynno kata?	1886652	When was that?
3927351	Lano ka bammiet?	2917303	When's dinner?
3927353	Lano sngikha jongphi?	16997	When is your birthday?
3927358	Ka nar ka ran ynda lah pjah.	18498	Metal contracts when cooled.
3927361	Katno baje wai skul?	21543	When is school over?
3927366	Lano kut skul?	21543	When is school over?
3927374	Lano kan sdang?	42781	When does it begin?
3927382	Nga don thyllieh.	3635961	I have dandruff.
3927406	Husiar! Ki jingim ha kane ka Iunivers la ker sawdong da 100% ki thyllieh. Phi kwah da kaba thymmai?	3759882	Warning: the lifeforms in this universe are surrounded by 10% dandruff. Would you like to set up a new one?
3927418	Lada ki dei ki nong-Canada, kane ka jingeh kan nyn don.	2662649	If they were Canadians, this problem wouldn't exist.
3927421	Balei ngim ju leh tennis ha ka sngi-u-blei?	453265	Why don't we play tennis on Sunday?
3927422	Ka jingkhyllah!	3731701	How weird is that?
3927423	Sngewbha jarjar.	497566	Please keep your voice down.
3927425	U khublei ianga da ki khmat jongu.	304174	He thanked me with his eyes.
3927429	U Tom u heh ia nga tang katto-katne snem.	2537674	Tom is a couple of years older than me, I think.
3927509	Shaei ka jhat?	5162297	Where is the ship?
3927530	Nga dang duhnong.	2248064	I'm losing business.
3927583	Don kaei-kaei ka ba nga kwah ban kylli iaphi.	3300586	There's something that I've been wanting to ask you.
3927811	Balei?	36419	Why?
3927816	Baleh aiu?	36419	Why?
3927982	Ka dukan ka khang lashai.	323307	The store will be closed tomorrow.
3927997	U ieng hangto shiphang.	290111	He stood there for a while.
3928006	Ka race shispah mitar kan sdang ar baje mynsngi.	3880718	The one-hundred-metre run starts at two in the afternoon.
3928014	U Tom u leit khlem jingbam baroh shi taiew.	3734181	Tom went without food for a whole week.
3928016	U Tom u ai ia ka albom dur ha ka Mary.	3444366	Tom handed the photo album to Mary.
3928022	Ka pang.	462526	That hurts.
3928024	Ka pang kato.	462526	That hurts.
3928033	Shim da kawei ka shuki.	2041	Take the other chair!
3928041	Nga ieid ia katai ka shuki.	25535	I love that chair.
3928045	Kane ka shuki ka isih.	51276	This chair is ugly.
3928047	Kine ki shuki ki pher.	463124	These chairs are different.
3928049	Kane ka shuki ka sting.	463266	This chair is light.
3928058	Ka bneng ka shai.	18350	The sky brightened.
3928064	ka bneng ka i dom.	18143	The sky looks angry.
3928089	Phi tip dei shaphang kaei kine baroh?	3731920	Do you know what this is all about?
3928300	Kane ka account kam iamynjur bad ki jingshisha.	48771	This account does not agree with the facts.
3928304	Phi leh aiu na ka bynta ka team?	3730918	What do you do for the team?
3928307	Phi iohi ia ka kper?	3181103	Do you see the garden?
3928316	Ngam khot iaphi da ka kyrteng.	2997982	I'm not calling you by name.
3929420	Nga don u paralok.	2739964	I have a friend.
3929423	Nga don ka paralok.	2739964	I have a friend.
